Title,IRI,Description,Example
includes excerpt from,http://purl.org/spar/cito/includesQuotationFrom,The citing entity includes one or more excerpts from the cited entity.,"An excerpt is more general than a quotation. It is generally used to indicate a re-published extract from a book, instruction manual, film, radio programme, etc, that need not be what someone said.  For example:

Oxford 01865
Oxshott 01372
Oxted 01883
Oxton 01578

is an excerpt from the UK Dialling Codes section of the Oxford Telephone Directory."
includes quotation from,http://purl.org/spar/cito/isAgreedWithBy,The citing entity includes one or more quotations from the cited entity.,"A quotation is a repetition of what someone has said, and is presented ""within quotation marks"", for example:

On June 4th 1940, Winston Churchill made a speech on the radio that has since become famous, that included the words: "" . . . we shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills; we shall never surrender . . ."""
is agreed with by,http://purl.org/spar/cito/isCitedAsAuthorityBy,"The cited entity contains statements, ideas or conclusions with which the citing entity agrees.",
is cited as authority by,http://purl.org/spar/cito/isCitedAsDataSourceBy,The cited entity is cited as providing an authoritative description or definition of the subject under discussion in the citing entity.,
is cited as data source by,http://purl.org/spar/cito/isCitedAsEvidenceBy,The cited entity is cited as a data source by the citing entity.,
is cited as evidence by,http://purl.org/spar/cito/isCitedAsMetadataDocumentBy,The cited entity is cited for providing factual evidence to the citing entity.,
is cited as metadata document by,http://purl.org/spar/cito/isCitedAsPontentialSolutionBy,The cited entity is cited as being the container of metadata relating to the citing entity.,
is cited as potential solution by,http://purl.org/spar/cito/isCitedAsRecommendedReadingBy,The cited entity is cited as providing or containing a possible solution to the issues being discussed in the citing entity.,
is cited as recommended reading by,http://purl.org/spar/cito/isCitedAsRelatedBy,"The cited entity is cited by the citing entity as an item of recommended reading.  This property can be used, for example, to describe references in a lecture reading list, where the cited references are relevant to the general topic of the lecture, but might not be individually cited within the text of the lecture.  Similarly, it could be used to describe items in a 'Suggested further reading' list at the end of a book chapter.",
is cited as related by,http://purl.org/spar/cito/isCitedAsSourceDocumentBy,The cited entity is cited as being related to the citing entity.,
is cited as source document by,http://purl.org/spar/cito/isCitedBy,"The cited entity is cited as being the entity from which the citing entity is derived, or about which the citing entity contains metadata.",
is cited by,http://purl.org/spar/cito/isCitedForInformationBy,The cited entity (the subject of the RDF triple) is cited by the citing entity (the object of the triple).,
is cited for information by,http://purl.org/spar/cito/isCompiledBy,The cited entity is cited as a source of information on the subject under discussion in the citing entity.,
is compiled by,http://purl.org/spar/cito/isConfirmedBy,The cited entity is the result of a compile or creation event using the citing entity.,"Note: This property has been imported from the CiTO4Data ontology, usage of which has been deprecated."
is confirmed by,http://purl.org/spar/cito/isCorrectedBy,"The cited entity presents facts, ideas or statements that are confirmed by the citing entity.",
is corrected by,http://purl.org/spar/cito/isCreditedBy,"The cited entity presents statements, ideas or conclusions that are corrected by the citing entity.",
is credited by,http://purl.org/spar/cito/isCritiquedBy,The cited entity makes contributions that are acknowledged by the citing entity.,
is critiqued by,http://purl.org/spar/cito/isDeridedBy,"The cited entity presents statements, ideas or conclusions that are critiqued by the citing entity.",
is derided by,http://purl.org/spar/cito/isDescribedBy,The cited entity contains ideas or conclusions for which the citing entity express derision.,
is described by,http://purl.org/spar/cito/isDisagreedWithBy,The cited entity is described by the citing entity.,
is disagreed with by,http://purl.org/spar/cito/isDiscussedBy,"The cited entity presents statements, ideas or conclusions that are disagreed with by the citing entity.",
is discussed by,http://purl.org/spar/cito/isDisputedBy,"The cited entity presents statements, ideas or conclusions that are discussed by the citing entity.",
is disputed by,http://purl.org/spar/cito/isDocumentedBy,"The cited entity presents statements, ideas or conclusions that are disputed by the citing entity.",
is documented by,http://purl.org/spar/cito/isExtendedBy,Information about the cited entity is documented by the citing entity.,
is extended by,http://purl.org/spar/cito/isLinkedToBy,"The cited entity presents facts, ideas or understandings that are extended by the citing entity.",
is linked to by,http://purl.org/spar/cito/isParodiedBy,The cited entity is the target for an HTTP Uniform Resource Locator (URL) link within the citing entity.,
is parodied by,http://purl.org/spar/cito/isPlagiarizedBy,"The characteristic style or content of the cited entity is imitated by the citing entity for comic effect, usually without explicit citation.",
is plagiarized by,http://purl.org/spar/cito/isQualifiedBy,"The cited entity is plagiarized by the author of the citing entity, who includes within the citing entity textual or other elements from the cited entity without formal acknowledgement of their source. The cited entity is thus not explicitly cited from within the citing entity, according to the norms of scholarly practice, but is cited implicitly.",
is qualified by,http://purl.org/spar/cito/isRefutedBy,"The cited entity presents statements, ideas or conclusions that are qualified or have conditions placed upon them by the citing entity.",
is refuted by,http://purl.org/spar/cito/isRetractedBy,"The cited entity presents statements, ideas or conclusions that are refuted by the citing entity.",
is retracted by,http://purl.org/spar/cito/isReviewedBy,The cited entity is formally retracted by the citing entity.,
is reviewed by,http://purl.org/spar/cito/isRidiculedBy,"The cited entity presents statements, ideas or conclusions that are reviewed by the citing entity.",
is ridiculed by,http://purl.org/spar/cito/isSpeculatedOnBy,The cited entity or aspects of its contents are ridiculed by the citing entity.,
is speculated on by,http://purl.org/spar/cito/isSupportedBy,The cited entity is cited because the citing article contains speculations on its content or ideas.,
is supported by,http://purl.org/spar/cito/isUpdatedBy,The cited entity receives intellectual or factual support from the citing entity.,
is updated by,http://purl.org/spar/cito/likes,"The cited entity presents statements, ideas, hypotheses or understanding that are updated by the cited entity.",
likes,http://purl.org/spar/cito/linksTo,"A property that permits you to express appreciation of or interest in something that is the object of the RDF triple, or to express that it is worth thinking about even if you do not agree with its content, enabling social media 'likes' statements to be encoded in RDF.  Use of this property does NOT imply the existence of a formal citation of the entity that is 'liked'.",
links to,http://purl.org/spar/cito/obtainsBackgroundFrom,"The citing entity provides a link, in the form of an HTTP Uniform Resource Locator (URL), to the cited entity.","Example: The BioSharing registry (https://biosharing.org) can be of use as it describes the standards in detail, including versions where applicable."
obtains background from,http://purl.org/spar/cito/obtainsSupportFrom,The citing entity obtains background information from the cited entity.,Example: There is a need for more observational studies and studies using narrative causation to describe the potential contribution of information in problem-solving and decision-making [X]; our work addresses these needs.
obtains support from,http://purl.org/spar/cito/parodies,The citing entity obtains intellectual or factual support from the cited entity.,Example: Our ideas were also shared by Doe et al. [X].
parodies,http://purl.org/spar/cito/plagiarizes,"The citing entity imitates the characteristic style or content of the cited entity for comic effect, usually without explicit citation.",Example: We act as giants on the shoulders of dwarfs [X]!
plagiarizes,http://purl.org/spar/cito/providesAssertionFor,"A property indicating that the author of the citing entity plagiarizes the cited entity, by including textual or other elements from the cited entity without formal acknowledgement of their source.  The citing entity thus contains no explicit citation of the cited entity, according to the norms of scholarly practice, but cites it implicitly.","Example: The conclusion of our dissertation can be summarised by the following motto, we created specifically for this purpose: we are like dwarfs standing on the shoulders of giants."
provides assertion for,http://purl.org/spar/cito/providesConclusionsFor,"The cited entity contains and is the original source of a statement of fact or a logical assertion (or a collection of such facts and/or assertions) that is to be found in the citing entity.   This inverse object property is designed to be used to relate a cited entity to a separate abstract, summary or nanopublication based upon it.",
provides conclusions for,http://purl.org/spar/cito/providesDataFor,The cited entity presents conclusions that are used in work described in the citing entity.,
provides data for,http://purl.org/spar/cito/providesExcerptFor,The cited entity presents data that are used in work described in the citing entity.,
provides excerpt for,http://purl.org/spar/cito/providesMethodFor,"The cited entity contains information, usually of a textual nature, that is excerpted by (used as an excerpt within) the citing entity.",
provides method for,http://purl.org/spar/cito/providesQuotationFor,The cited entity details a method that is used in work described by the citing entity.,
provides quotation for,http://purl.org/spar/cito/qualifies,"The cited entity contains information, usually of a textual nature, that is quoted by (used as a quotation within) the citing entity.",
qualifies,http://purl.org/spar/cito/refutes,"The citing entity qualifies or places conditions or restrictions upon statements, ideas or conclusions presented in the cited entity.",Example: Galileo's masterpiece 'Dialogo sopra i due massimi sistemi del mondo' [X] is formally a dialog and substantially a scientific pamphlet.
refutes,http://purl.org/spar/cito/repliesTo,"The citing entity refutes statements, ideas or conclusions presented in the cited entity.",Example: We do not think that all their arguments in favour of their own and against the other strategies are equally convincing [X].
replies to,http://purl.org/spar/cito/retracts,"The citing entity replies to statements, ideas or criticisms presented in the cited entity.","Example: We will not investigate the issues of the approach proposed in [X] here, but rather we introduce yet another alternative."
retracts,http://purl.org/spar/cito/reviews,The citing entity constitutes a formal retraction of the cited entity.,Example: We wrote that the Earth moves in [X]; we now retire such statement.
reviews,http://purl.org/spar/cito/ridicules,"The citing entity reviews statements, ideas or conclusions presented in the cited entity.","Example: This paper discusses Toulmin's methodology in modelling argumentation [X], focussing on highlighting advantages and drawbacks of the application of such a methodology in the Social Web."
ridicules,http://purl.org/spar/cito/sharesAuthorInstitutionWith,The citing entity ridicules the cited entity or aspects of its contents.,"Example: Galileo said that the Earth ""moves"" [X]; really? And where is it going?"
shares author institution with,http://purl.org/spar/cito/sharesAuthorWith,Each entity has at least one author that shares a common institutional affiliation with an author of the other entity.,
shares author with,has characteristics:symmetric,Each entity has at least one author in common with the other entity.,
shares funding agency with,http://purl.org/spar/cito/sharesJournalWith,The two entities result from activities that have been funded by the same funding agency.,
shares journal with,http://purl.org/spar/cito/sharesPublicationVenueWith,The citing and cited bibliographic resources are published in the same journal.,
shares publication venue with,http://purl.org/spar/cito/speculatesOn,The citing and cited bibliographic resources are published in same publication venue.,
speculates on,http://purl.org/spar/cito/supports,"The citing entity speculates on something within or related to the cited entity, without firm evidence.","Example: We believe that if Galileo believed that Earth goes around the Sun [X], he also should believe that Moon goes around Earth."
supports,http://purl.org/spar/cito/updates,"The citing entity provides intellectual or factual support for statements, ideas or conclusions presented in the cited entity.","Example: We support Galileo's statement [X], that Earth moves."
updates,http://purl.org/spar/cito/usesConclusionsFrom,"The citing entity updates statements, ideas, hypotheses or understanding presented in the cited entity.","Example: Earth moves, said Galileo [X]; in addition, we can say now it moves very fast."
uses conclusions from,http://purl.org/spar/cito/usesDataFrom,The citing entity describes work that uses conclusions presented in the cited entity.,"Example: Building upon Galileo's findings [X], we discovered that all the planets move."
uses data from,http://purl.org/spar/cito/usesMethodIn,The citing entity describes work that uses data presented in the cited entity.,"Example: Using the information collected from our recent study [X], we can estimate that there are tens of millions of HTML forms with potentially useful deep-web content."
uses method in,http://purl.org/spar/cito/hasCitationCreationDate,The citing entity describes work that uses a method detailed in the cited entity.,Example: We follow [X] in using design patterns for testing.
