,Model,Precision,Recall,F1-Score,Accuracy,Method,System_Prompt,Query_Template,Examples_Method,Temperature
37,GEMMA2-9B,0.5809,0.5172,0.5286,0.6187,one-shot,3,2,2,0.2
38,QWEN2.5_14B,0.5142,0.5656,0.5275,0.6115,many-shot,3,2,2,0.0
39,GEMMA2-27B,0.5309,0.5429,0.5272,0.554,few-shot,3,2,2,0.0
40,QWEN2.5_14B,0.5206,0.5434,0.5218,0.6259,one-shot,3,2,1,1.0
41,QWEN2.5_14B,0.5069,0.559,0.5199,0.6043,many-shot,3,2,2,0.2
42,QWEN2.5_14B,0.5198,0.5428,0.5169,0.6115,one-shot,3,2,1,0.5
43,QWEN2.5_14B,0.5117,0.5385,0.5123,0.6115,one-shot,3,2,1,0.2
44,QWEN2.5_14B,0.5086,0.5361,0.509,0.6043,one-shot,3,2,1,0.0
45,QWEN2.5_14B,0.5006,0.5418,0.5068,0.6043,many-shot,3,2,2,1.0
46,QWEN2.5_14B,0.6152,0.4727,0.5002,0.6763,zero-shot,3,2,,0.5
47,GEMMA2-9B,0.5636,0.4815,0.499,0.6043,one-shot,3,2,2,1.0
48,QWEN2.5_14B,0.6107,0.4704,0.4969,0.6691,zero-shot,3,2,,0.2
49,QWEN2.5_14B,0.6107,0.4704,0.4969,0.6691,zero-shot,3,2,,0.0
50,QWEN2.5_14B,0.6107,0.4704,0.4969,0.6691,zero-shot,3,2,,1.0
51,GEMMA2-27B,0.5043,0.5137,0.496,0.5324,few-shot,3,2,1,0.2
52,GEMMA2-27B,0.5043,0.5137,0.496,0.5324,few-shot,3,2,1,0.0
53,GEMMA2-9B,0.5423,0.4899,0.4943,0.5899,zero-shot,3,2,,0.0
54,GEMMA2-9B,0.5426,0.4899,0.4935,0.5899,zero-shot,3,2,,0.2
55,GEMMA2-9B,0.5323,0.4876,0.4907,0.5827,zero-shot,3,2,,0.5
56,GEMMA2-27B,0.4953,0.509,0.4875,0.518,few-shot,3,2,1,0.5
57,GEMMA2-9B,0.5372,0.4856,0.4862,0.5899,zero-shot,3,2,,1.0
58,MISTRAL_NEMO,0.5801,0.4455,0.4811,0.6259,one-shot,3,2,1,0.2
59,MISTRAL_NEMO,0.5095,0.4952,0.4803,0.6187,few-shot,3,2,1,0.2
60,MISTRAL_NEMO,0.5765,0.4432,0.4777,0.6187,one-shot,3,2,1,0.0
61,QWEN2,0.5211,0.5259,0.475,0.4964,few-shot,3,2,2,0.0
62,QWEN2,0.5256,0.5106,0.4737,0.5036,many-shot,3,2,2,0.0
63,GEMMA2-9B,0.5326,0.4513,0.4729,0.5899,one-shot,3,2,1,0.2
64,GEMMA2-9B,0.53,0.4455,0.4696,0.5971,one-shot,3,2,1,1.0
65,LLAMA3.1,0.5101,0.4525,0.4643,0.5612,many-shot,3,2,2,0.2
66,MISTRAL_NEMO,0.4921,0.4647,0.4642,0.6043,few-shot,3,2,1,0.0
67,LLAMA3.1,0.5097,0.4527,0.4621,0.5612,many-shot,3,2,2,0.0
68,LLAMA3.1,0.5115,0.447,0.4619,0.5612,many-shot,3,2,2,0.5
69,QWEN2,0.5029,0.5079,0.4601,0.482,few-shot,3,2,2,0.5
70,LLAMA3.1,0.5682,0.4273,0.456,0.5755,one-shot,3,2,2,0.5
71,GEMMA2-9B,0.5181,0.4339,0.4552,0.5755,one-shot,3,2,1,0.0
72,GEMMA2-27B,0.4821,0.4522,0.4547,0.5324,few-shot,3,2,2,1.0
73,GEMMA2-27B,0.4593,0.4668,0.4544,0.5468,few-shot,3,2,2,0.5
74,LLAMA3.1,0.5646,0.4192,0.4513,0.5755,one-shot,3,2,2,0.0
75,LLAMA3.1,0.5553,0.4168,0.448,0.5683,one-shot,3,2,2,0.2
76,QWEN2,0.5188,0.4509,0.4457,0.5396,zero-shot,3,2,,0.2
77,QWEN2,0.4543,0.5441,0.4439,0.482,few-shot,3,2,2,0.2
78,QWEN2,0.5135,0.4462,0.4388,0.5252,zero-shot,3,2,,0.0
79,GEMMA2-27B,0.5076,0.4319,0.4359,0.5683,zero-shot,3,2,,0.2
80,GEMMA2-27B,0.5085,0.4319,0.4357,0.5683,zero-shot,3,2,,0.0
81,QWEN2,0.4945,0.4543,0.4356,0.4748,many-shot,3,2,2,0.2
82,GEMMA2-9B,0.5226,0.4075,0.4322,0.5755,one-shot,3,2,1,0.5
83,QWEN2,0.5061,0.4329,0.4311,0.4029,many-shot,3,2,1,0.0
84,MISTRAL_NEMO,0.5403,0.3987,0.4311,0.5899,one-shot,3,2,1,0.5
85,GEMMA2-27B,0.5045,0.4296,0.4303,0.5612,zero-shot,3,2,,0.5
86,LLAMA3.1,0.5201,0.403,0.4295,0.5827,one-shot,3,2,2,1.0
87,MISTRAL_NEMO,0.4382,0.4581,0.4218,0.5252,many-shot,3,2,1,0.0
88,QWEN2,0.4969,0.4155,0.4204,0.4029,many-shot,3,2,1,0.2
89,LLAMA3.1,0.5492,0.3755,0.4203,0.6259,few-shot,3,2,2,0.0
90,LLAMA3.1,0.546,0.3755,0.4193,0.6259,few-shot,3,2,2,0.2
91,PHI3.5_MINI,0.5062,0.4081,0.4182,0.5036,zero-shot,3,2,,0.5
92,GEMMA2-27B,0.4897,0.4064,0.416,0.5683,zero-shot,3,2,,1.0
93,QWEN2,0.4851,0.4047,0.4101,0.3813,many-shot,3,2,1,0.5
94,QWEN2,0.4944,0.43,0.4093,0.4604,one-shot,3,2,1,0.2
95,LLAMA3.1,0.5227,0.3662,0.4088,0.5971,few-shot,3,2,2,0.5
96,GEMMA2-27B,0.4304,0.4337,0.4075,0.4964,few-shot,3,2,1,1.0
97,QWEN2,0.4889,0.4236,0.405,0.4532,one-shot,3,2,1,0.0
98,MISTRAL_NEMO,0.5039,0.3679,0.4047,0.5612,one-shot,3,2,1,1.0
99,LLAMA3.1,0.4915,0.3908,0.4044,0.5108,many-shot,3,2,2,1.0
100,QWEN2,0.4873,0.4259,0.4032,0.4604,one-shot,3,2,1,0.5
101,PHI3.5_MINI,0.4437,0.4183,0.4018,0.4676,few-shot,3,2,2,0.0
102,PHI3.5_MINI,0.4911,0.3968,0.4014,0.482,zero-shot,3,2,,0.0
103,PHI3.5_MINI,0.4393,0.4183,0.3992,0.4676,few-shot,3,2,2,0.2
104,MISTRAL_NEMO,0.4735,0.4793,0.3988,0.4173,few-shot,3,2,2,0.0
105,PHI3.5_MINI,0.4873,0.3904,0.3978,0.4748,zero-shot,3,2,,1.0
106,PHI3.5_MINI,0.4855,0.3904,0.3959,0.4748,zero-shot,3,2,,0.2
107,QWEN2,0.4831,0.3936,0.393,0.4173,few-shot,3,2,1,0.0
108,PHI3_MEDIUM,0.3954,0.4095,0.393,0.5108,one-shot,3,2,2,0.2
109,QWEN2,0.4831,0.3936,0.393,0.4173,few-shot,3,2,1,0.2
110,MISTRAL_NEMO,0.4401,0.3887,0.3922,0.5468,few-shot,3,2,1,0.5
111,QWEN2,0.4857,0.3889,0.3912,0.4029,few-shot,3,2,1,0.5
112,MISTRAL_NEMO,0.4511,0.4752,0.3903,0.4173,few-shot,3,2,2,0.5
113,MISTRAL_NEMO,0.4685,0.3802,0.3869,0.4604,one-shot,3,2,2,0.0
114,QWEN2,0.4025,0.4568,0.3838,0.446,few-shot,3,2,2,1.0
115,MISTRAL_NEMO,0.4657,0.3819,0.3826,0.4532,one-shot,3,2,2,0.2
116,PHI3.5_MINI,0.4141,0.4095,0.3794,0.4245,one-shot,3,2,2,0.5
117,PHI3.5_MINI,0.4238,0.3984,0.3786,0.4317,few-shot,3,2,2,0.5
118,LLAMA3.2_3B,0.4665,0.39,0.3782,0.4748,one-shot,3,2,2,0.2
119,QWEN2,0.4411,0.3824,0.3775,0.5252,zero-shot,3,2,,0.5
120,MISTRAL_NEMO,0.4339,0.4674,0.3763,0.4101,few-shot,3,2,2,0.2
121,QWEN2,0.444,0.3807,0.3754,0.5324,zero-shot,3,2,,1.0
122,LLAMA3,0.5133,0.3284,0.3729,0.4892,zero-shot,3,2,,0.2
123,PHI3.5_MINI,0.3914,0.4159,0.3723,0.4317,one-shot,3,2,2,1.0
124,MISTRAL_NEMO,0.3793,0.4187,0.3718,0.5036,many-shot,3,2,1,0.2
125,PHI3.5_MINI,0.4067,0.4005,0.3718,0.4101,one-shot,3,2,2,0.2
126,PHI3_MEDIUM,0.4094,0.3677,0.3714,0.4892,one-shot,3,2,2,0.5
127,MISTRAL_NEMO,0.4301,0.3724,0.371,0.482,one-shot,3,2,2,0.5
128,MISTRAL_NEMO,0.4571,0.3997,0.3707,0.4748,few-shot,3,2,1,1.0
129,QWEN2,0.4998,0.3548,0.3704,0.4964,one-shot,3,2,2,0.2
130,PHI3.5_MINI,0.3735,0.4115,0.3703,0.4964,many-shot,3,2,2,0.0
131,QWEN2,0.4138,0.3825,0.3696,0.3957,few-shot,3,2,1,1.0
132,LLAMA3.2_3B,0.4557,0.3877,0.3693,0.4676,one-shot,3,2,2,0.0
133,QWEN2,0.4931,0.3548,0.3683,0.4964,one-shot,3,2,2,0.0
134,GEMMA2-2B,0.6004,0.3451,0.368,0.5755,few-shot,3,2,2,0.0
135,QWEN2,0.4705,0.3746,0.3674,0.3813,many-shot,3,2,1,1.0
136,PHI3.5_MINI,0.3696,0.4132,0.3656,0.4892,many-shot,3,2,2,0.2
137,PHI3.5_MINI,0.3823,0.4028,0.3652,0.4173,one-shot,3,2,2,0.0
138,LLAMA3.1,0.5079,0.3376,0.3634,0.5108,zero-shot,3,2,,0.5
139,LLAMA3,0.4937,0.3241,0.3632,0.4892,zero-shot,3,2,,0.0
140,MISTRAL_NEMO,0.3919,0.3652,0.3611,0.4676,many-shot,3,2,1,0.5
141,PHI3_MEDIUM,0.3611,0.3853,0.3602,0.4748,one-shot,3,2,2,0.0
142,QWEN2,0.4942,0.3481,0.3602,0.4892,one-shot,3,2,2,0.5
143,PHI3.5_MINI,0.3643,0.3943,0.3596,0.4604,many-shot,3,2,2,0.5
144,GEMMA2-2B,0.482,0.3351,0.3595,0.4748,zero-shot,3,2,,0.0
145,MISTRAL_NEMO,0.3695,0.4085,0.3594,0.4532,many-shot,3,2,1,1.0
146,GEMMA2-2B,0.4819,0.3351,0.3594,0.4748,zero-shot,3,2,,0.2
147,LLAMA3.1,0.4154,0.3746,0.3587,0.4532,few-shot,3,2,1,0.5
148,LLAMA3.1,0.4731,0.3658,0.3582,0.4676,many-shot,3,2,1,0.2
149,PHI3.5_MINI,0.3638,0.4037,0.3558,0.4676,many-shot,3,2,2,1.0
150,PHI3_MEDIUM,0.3728,0.4084,0.3536,0.446,many-shot,3,2,2,0.0
151,QWEN2,0.4185,0.3703,0.3507,0.4532,one-shot,3,2,1,1.0
152,LLAMA3.1,0.4542,0.3494,0.3475,0.4748,few-shot,3,2,1,0.0
153,PHI3_MEDIUM,0.3799,0.3705,0.3471,0.446,few-shot,3,2,2,0.2
154,LLAMA3.1,0.4912,0.3144,0.3469,0.518,zero-shot,3,2,,0.2
155,LLAMA3.1,0.422,0.3238,0.346,0.4604,one-shot,3,2,1,0.2
156,LLAMA3.1,0.44,0.3101,0.3452,0.5971,few-shot,3,2,2,1.0
157,LLAMA3.1,0.4889,0.3104,0.3439,0.518,zero-shot,3,2,,0.0
158,MISTRAL_NEMO,0.4684,0.3881,0.343,0.3669,many-shot,3,2,2,0.5
159,GEMMA2-2B,0.3883,0.3235,0.341,0.4676,one-shot,3,2,2,0.2
160,GEMMA2-2B,0.4043,0.3304,0.3404,0.4604,zero-shot,3,2,,0.5
161,LLAMA3.1,0.3787,0.3281,0.3386,0.4748,one-shot,3,2,1,0.0
162,PHI3_MEDIUM,0.3611,0.3748,0.3372,0.446,few-shot,3,2,2,0.0
163,PHI3.5_MINI,0.4271,0.3575,0.3363,0.3813,many-shot,3,2,1,0.5
164,LLAMA3.1,0.3761,0.3358,0.3358,0.4388,one-shot,3,2,1,0.5
165,QWEN2,0.3556,0.3625,0.3346,0.4604,many-shot,3,2,2,0.5
166,MISTRAL_NEMO,0.4661,0.3836,0.3338,0.3525,many-shot,3,2,2,0.2
167,GEMMA2-2B,0.3684,0.3498,0.3335,0.4532,one-shot,3,2,2,0.5
168,LLAMA3.1,0.4454,0.3119,0.3334,0.4604,few-shot,3,2,1,0.2
169,MISTRAL_NEMO,0.3955,0.4232,0.3331,0.3957,few-shot,3,2,2,1.0
170,GEMMA2-2B,0.3638,0.3431,0.3328,0.446,one-shot,3,2,2,1.0
171,GEMMA2-2B,0.4886,0.3071,0.3303,0.554,few-shot,3,2,2,0.5
172,LLAMA3.1,0.4593,0.3037,0.3302,0.4173,many-shot,3,2,1,0.5
173,PHI3.5_MINI,0.3704,0.3378,0.3302,0.4317,few-shot,3,2,2,1.0
174,GEMMA2-2B,0.3692,0.3188,0.3287,0.4532,one-shot,3,2,2,0.0
175,PHI3.5_MINI,0.401,0.3241,0.3281,0.3381,one-shot,3,2,1,0.2
176,LLAMA3.1,0.4557,0.3027,0.3276,0.4676,many-shot,3,2,1,0.0
177,QWEN2,0.4384,0.315,0.3256,0.482,one-shot,3,2,2,1.0
178,LLAMA3,0.3803,0.3222,0.325,0.3957,few-shot,3,2,2,0.5
179,PHI3.5_MINI,0.3943,0.3221,0.3234,0.3309,one-shot,3,2,1,0.0
180,LLAMA3,0.5012,0.2974,0.323,0.4892,zero-shot,3,2,,0.5
181,LLAMA3,0.412,0.3058,0.3223,0.4029,few-shot,3,2,2,0.0
182,LLAMA3.1,0.4171,0.3012,0.32,0.4173,many-shot,3,2,1,1.0
183,LLAMA3,0.4042,0.3058,0.3197,0.4029,few-shot,3,2,2,0.2
184,PHI3_MEDIUM,0.3442,0.3119,0.3168,0.4245,one-shot,3,2,2,1.0
185,PHI3_MEDIUM,0.3504,0.3763,0.3146,0.4101,many-shot,3,2,2,0.2
186,LLAMA3.2_3B,0.3417,0.3548,0.3134,0.446,one-shot,3,2,2,0.5
187,GEMMA2-2B,0.3452,0.3317,0.313,0.5612,few-shot,3,2,2,1.0
188,PHI3_MEDIUM,0.3211,0.3591,0.3126,0.4317,few-shot,3,2,2,1.0
189,PHI3_MEDIUM,0.3244,0.3397,0.3123,0.4029,few-shot,3,2,2,0.5
190,LLAMA3.2_3B,0.3476,0.3425,0.3122,0.4892,many-shot,3,2,2,0.5
191,MISTRAL_NEMO,0.447,0.3529,0.3098,0.3381,many-shot,3,2,2,0.0
192,PHI3.5_MINI,0.4266,0.2913,0.308,0.3309,few-shot,3,2,1,1.0
193,QWEN2,0.3471,0.3207,0.3072,0.4317,many-shot,3,2,2,1.0
194,PHI3.5_MINI,0.4,0.2996,0.3069,0.3453,one-shot,3,2,1,0.5
195,LLAMA3,0.3623,0.3399,0.3063,0.3885,few-shot,3,2,1,1.0
196,PHI3.5_MINI,0.3489,0.3391,0.306,0.3813,many-shot,3,2,1,0.0
197,LLAMA3,0.3494,0.3243,0.3052,0.4029,few-shot,3,2,1,0.5
198,MISTRAL_NEMO,0.394,0.2885,0.304,0.4173,one-shot,3,2,2,1.0
199,LLAMA3.2_3B,0.3824,0.3173,0.3026,0.4532,one-shot,3,2,2,1.0
200,LLAMA3.1,0.3509,0.3139,0.3014,0.4245,few-shot,3,2,1,1.0
201,LLAMA3,0.3962,0.2766,0.3005,0.3381,few-shot,3,2,2,1.0
202,PHI3.5_MINI,0.3338,0.3391,0.2997,0.3813,many-shot,3,2,1,0.2
203,LLAMA3.2_3B,0.3129,0.3161,0.2994,0.446,few-shot,3,2,2,0.0
204,LLAMA3.2_3B,0.3121,0.3161,0.2992,0.446,few-shot,3,2,2,1.0
205,GEMMA2-2B,0.3733,0.2799,0.2987,0.5036,few-shot,3,2,1,0.0
206,LLAMA3.1,0.4025,0.2756,0.2983,0.4317,zero-shot,3,2,,1.0
207,GEMMA2-2B,0.3869,0.3516,0.2969,0.3381,one-shot,3,2,1,1.0
208,LLAMA3,0.4174,0.3291,0.2948,0.3741,few-shot,3,2,1,0.2
209,LLAMA3.2_3B,0.3087,0.3094,0.2946,0.4388,few-shot,3,2,2,0.2
210,PHI3.5_MINI,0.4522,0.2832,0.2931,0.3309,few-shot,3,2,1,0.2
211,MISTRAL_NEMO,0.4549,0.2968,0.2928,0.4676,zero-shot,3,2,,0.0
212,PHI3.5_MINI,0.3223,0.3291,0.2872,0.3453,many-shot,3,2,1,1.0
213,LLAMA3,0.3957,0.3127,0.2843,0.3813,few-shot,3,2,1,0.0
214,LLAMA3.2_3B,0.2941,0.3062,0.2831,0.4676,many-shot,3,2,2,0.0
215,LLAMA3.2_3B,0.3075,0.3099,0.2827,0.4676,many-shot,3,2,2,0.2
216,MISTRAL_NEMO,0.4497,0.2834,0.2826,0.4388,zero-shot,3,2,,0.2
217,PHI3_MEDIUM,0.3089,0.3535,0.2818,0.3669,many-shot,3,2,2,0.5
218,LLAMA3,0.3855,0.4238,0.2814,0.295,one-shot,3,2,1,0.2
219,LLAMA3.1,0.3213,0.2747,0.2799,0.3741,one-shot,3,2,1,1.0
220,GEMMA2-2B,0.4125,0.2612,0.2797,0.5468,few-shot,3,2,2,0.2
221,PHI3.5_MINI,0.4472,0.2726,0.2776,0.2806,few-shot,3,2,1,0.5
222,MISTRAL_NEMO,0.372,0.3484,0.2761,0.3237,many-shot,3,2,2,1.0
223,LLAMA3,0.399,0.3838,0.2748,0.2806,one-shot,3,2,1,0.0
224,PHI3.5_MINI,0.3072,0.2936,0.2733,0.3237,one-shot,3,2,1,1.0
225,GEMMA2-2B,0.315,0.2624,0.2698,0.4748,few-shot,3,2,1,0.2
226,LLAMA3.2_3B,0.3187,0.273,0.2697,0.4532,few-shot,3,2,2,0.5
227,LLAMA3.2_3B,0.2611,0.3145,0.2689,0.4317,many-shot,3,2,2,1.0
228,MISTRAL_NEMO,0.4153,0.2543,0.2639,0.4388,zero-shot,3,2,,0.5
229,GEMMA2-2B,0.3759,0.2925,0.2616,0.3309,one-shot,3,2,1,0.2
230,PHI3.5_MINI,0.4239,0.2281,0.2605,0.295,few-shot,3,2,1,0.0
231,LLAMA3,0.4116,0.2414,0.2599,0.2374,one-shot,3,2,2,0.2
232,GEMMA2-2B,0.3328,0.2485,0.2581,0.4676,zero-shot,3,2,,1.0
233,LLAMA3,0.4258,0.2414,0.258,0.2374,one-shot,3,2,2,0.0
234,GEMMA2-2B,0.3278,0.2202,0.2509,0.446,few-shot,3,2,1,1.0
235,LLAMA3.2_3B,0.3294,0.2703,0.2479,0.2302,zero-shot,3,2,,0.0
236,LLAMA3.2_1B,0.2851,0.3284,0.246,0.3381,many-shot,3,2,2,0.5
237,LLAMA3,0.3481,0.2414,0.2454,0.4245,zero-shot,3,2,,1.0
238,GEMMA2-2B,0.339,0.2777,0.2421,0.3237,one-shot,3,2,1,0.5
239,LLAMA3.2_3B,0.3085,0.2349,0.2414,0.2518,zero-shot,3,2,,0.2
240,GEMMA2-2B,0.3316,0.2811,0.241,0.3094,one-shot,3,2,1,0.0
241,LLAMA3,0.4021,0.2226,0.2381,0.1942,one-shot,3,2,2,0.5
242,LLAMA3,0.3275,0.3239,0.2347,0.2302,one-shot,3,2,1,0.5
243,GEMMA2-2B,0.2853,0.2229,0.2347,0.4676,few-shot,3,2,1,0.5
244,LLAMA3,0.3249,0.2968,0.234,0.3022,one-shot,3,2,1,1.0
245,PHI3_MEDIUM,0.2602,0.2699,0.2328,0.3237,many-shot,3,2,2,1.0
246,LLAMA3.2_1B,0.407,0.2826,0.2286,0.3741,many-shot,3,2,2,0.0
247,MISTRAL_NEMO,0.3772,0.2054,0.2284,0.4245,zero-shot,3,2,,1.0
248,LLAMA3.2_1B,0.2815,0.2482,0.2172,0.259,few-shot,3,2,2,0.5
249,LLAMA3.2_1B,0.2434,0.3029,0.2156,0.2518,many-shot,3,2,2,1.0
250,LLAMA3.2_1B,0.2216,0.2886,0.2109,0.3525,many-shot,3,2,2,0.2
251,LLAMA3.2_1B,0.4362,0.2743,0.2093,0.2662,few-shot,3,2,2,0.0
252,LLAMA3.2_3B,0.2626,0.2031,0.2086,0.2302,zero-shot,3,2,,1.0
253,LLAMA3.2_3B,0.3484,0.2708,0.2079,0.3094,one-shot,3,2,1,0.2
254,LLAMA3.2_1B,0.3286,0.248,0.2071,0.2806,few-shot,3,2,2,0.2
255,LLAMA3.2_1B,0.2385,0.2191,0.1899,0.2662,few-shot,3,2,2,1.0
256,LLAMA3,0.2917,0.1784,0.182,0.1583,one-shot,3,2,2,1.0
257,LLAMA3.2_3B,0.214,0.1794,0.1725,0.2806,one-shot,3,2,1,1.0
258,LLAMA3.2_3B,0.2871,0.2388,0.1692,0.3022,one-shot,3,2,1,0.0
259,LLAMA3.2_3B,0.2394,0.2433,0.1685,0.2518,one-shot,3,2,1,0.5
260,LLAMA3.2_3B,0.2264,0.1881,0.1653,0.2014,zero-shot,3,2,,0.5
261,LLAMA3.2_1B,0.1482,0.182,0.1615,0.3741,many-shot,3,2,1,0.0
262,LLAMA3.2_3B,0.3759,0.0989,0.1543,0.1799,few-shot,3,2,1,0.2
263,LLAMA3.2_1B,0.3483,0.2092,0.1538,0.1511,one-shot,3,2,2,0.2
264,LLAMA3.2_3B,0.3828,0.0966,0.1529,0.1727,few-shot,3,2,1,0.0
265,PHI3_MEDIUM,0.231,0.1155,0.1519,0.223,many-shot,3,2,1,0.2
266,LLAMA3.2_3B,0.347,0.1417,0.1508,0.1439,many-shot,3,2,1,0.5
267,PHI3_MEDIUM,0.3571,0.1093,0.1488,0.2302,one-shot,3,2,1,0.2
268,LLAMA3.2_3B,0.4117,0.0911,0.1445,0.1655,few-shot,3,2,1,1.0
269,LLAMA3.2_3B,0.3967,0.112,0.1434,0.1583,few-shot,3,2,1,0.5
270,LLAMA3.2_1B,0.2108,0.1525,0.1391,0.1583,few-shot,3,2,1,0.2
271,PHI3_MEDIUM,0.3782,0.09,0.1381,0.1871,many-shot,3,2,1,1.0
272,LLAMA3.2_1B,0.1862,0.1951,0.1352,0.1727,few-shot,3,2,1,0.0
273,LLAMA3.2_3B,0.2344,0.1505,0.129,0.1367,many-shot,3,2,1,1.0
274,LLAMA3.2_3B,0.3622,0.1228,0.1286,0.1151,many-shot,3,2,1,0.2
275,PHI3_MEDIUM,0.2347,0.101,0.1286,0.2662,zero-shot,3,2,,0.2
276,LLAMA3.2_1B,0.4381,0.1871,0.1279,0.1223,one-shot,3,2,2,0.0
277,LLAMA3.2_1B,0.1167,0.1755,0.1269,0.2662,many-shot,3,2,1,0.2
278,PHI3_MEDIUM,0.3776,0.0951,0.1268,0.1367,few-shot,3,2,1,1.0
279,PHI3_MEDIUM,0.2444,0.093,0.1264,0.2374,few-shot,3,2,1,0.2
280,PHI3_MEDIUM,0.2302,0.095,0.123,0.2446,one-shot,3,2,1,0.0
281,PHI3_MEDIUM,0.2302,0.095,0.123,0.2446,zero-shot,3,2,,0.0
282,PHI3_MEDIUM,0.3659,0.0803,0.1169,0.1799,zero-shot,3,2,,0.5
283,PHI3_MEDIUM,0.2257,0.0869,0.1161,0.2158,few-shot,3,2,1,0.0
284,PHI3_MEDIUM,0.2257,0.0869,0.1161,0.2158,many-shot,3,2,1,0.0
285,PHI3_MEDIUM,0.3626,0.0765,0.1132,0.1655,many-shot,3,2,1,0.5
286,PHI3_MEDIUM,0.2331,0.0769,0.1105,0.1799,one-shot,3,2,1,0.5
287,PHI3_MEDIUM,0.2308,0.0769,0.11,0.1799,few-shot,3,2,1,0.5
288,LLAMA3.2_1B,0.2428,0.1948,0.1063,0.1151,one-shot,3,2,2,0.5
289,LLAMA3.2_1B,0.222,0.1061,0.1008,0.1007,few-shot,3,2,1,0.5
290,LLAMA3.2_1B,0.1418,0.0973,0.0933,0.1511,many-shot,3,2,1,0.5
291,LLAMA3.2_1B,0.1941,0.1074,0.09,0.1079,one-shot,3,2,2,1.0
292,PHI3_MEDIUM,0.1893,0.0634,0.0888,0.1871,one-shot,3,2,1,1.0
293,PHI3_MEDIUM,0.2489,0.0552,0.0828,0.1583,zero-shot,3,2,,1.0
294,LLAMA3.2_1B,0.1445,0.0591,0.0803,0.1079,many-shot,3,2,1,1.0
295,LLAMA3.2_3B,0.1876,0.0844,0.0654,0.0863,many-shot,3,2,1,0.0
296,LLAMA3.2_1B,0.0993,0.0416,0.0548,0.0432,few-shot,3,2,1,1.0
