,Model,Precision,Recall,F1-Score,Accuracy,Method,Prompt_Version,Query_Template,Examples_Method,Temperature
36,QWEN2.5_14B,0.7636,0.7733,0.7652,0.7937,many-shot,1,2,2,0.2
37,QWEN2.5_14B,0.7473,0.8089,0.765,0.7834,many-shot,2,2,1,0.2
38,QWEN2.5_14B,0.7462,0.8047,0.7648,0.784,few-shot,1,2,1,0.0
39,QWEN2.5_14B,0.7474,0.8071,0.7647,0.784,many-shot,2,2,1,1.0
40,QWEN2.5_14B,0.7477,0.7966,0.7645,0.784,few-shot,3,2,1,0.5
41,MISTRAL_NEMO,0.7686,0.7611,0.7643,0.7877,few-shot,2,2,1,0.5
42,MISTRAL_NEMO,0.7466,0.7965,0.7641,0.7851,many-shot,2,2,1,0.2
43,QWEN2.5_14B,0.7455,0.8029,0.7639,0.7834,few-shot,1,2,1,0.5
44,QWEN2.5_14B,0.7451,0.803,0.7638,0.7824,few-shot,1,2,1,1.0
45,QWEN2.5_14B,0.7462,0.8071,0.7635,0.7824,many-shot,2,2,1,0.0
46,QWEN2.5_14B,0.7509,0.7919,0.7632,0.7856,one-shot,1,2,1,1.0
47,QWEN2.5_14B,0.7604,0.7678,0.763,0.7942,few-shot,1,2,2,0.5
48,QWEN2.5_14B,0.7496,0.7977,0.7629,0.7834,one-shot,3,2,2,1.0
49,QWEN2.5_14B,0.7498,0.797,0.7627,0.7834,one-shot,3,2,2,0.5
50,MISTRAL_NEMO,0.8112,0.7359,0.7625,0.791,few-shot,2,1,1,0.0
51,QWEN2.5_14B,0.7456,0.8065,0.7625,0.7818,many-shot,2,2,1,0.5
52,QWEN2.5_14B,0.7496,0.797,0.7625,0.7834,one-shot,3,2,2,0.0
53,QWEN2.5_14B,0.7504,0.7914,0.7623,0.7851,one-shot,1,2,1,0.5
54,MISTRAL_NEMO,0.7452,0.7928,0.7621,0.784,many-shot,2,2,1,0.0
55,QWEN2.5_14B,0.7447,0.7961,0.762,0.7813,few-shot,3,2,1,1.0
56,QWEN2.5_14B,0.7485,0.7963,0.7617,0.7824,one-shot,3,2,2,0.2
57,GEMMA2-27B,0.7485,0.7918,0.7616,0.7872,few-shot,3,2,2,0.2
58,QWEN2.5_14B,0.7599,0.7692,0.7614,0.7904,many-shot,1,2,2,0.0
59,QWEN2.5_14B,0.7592,0.7654,0.7614,0.7931,few-shot,1,2,2,0.0
60,QWEN2.5_14B,0.7589,0.7681,0.7606,0.7904,many-shot,1,2,2,0.5
61,QWEN2.5_14B,0.7422,0.8005,0.7603,0.7792,few-shot,2,2,1,0.5
62,QWEN2.5_14B,0.7484,0.7896,0.7603,0.7834,one-shot,1,2,1,0.0
63,QWEN2.5_14B,0.758,0.7638,0.7601,0.792,few-shot,1,2,2,0.2
64,QWEN2.5_14B,0.7415,0.7983,0.7597,0.7781,few-shot,2,2,1,1.0
65,QWEN2.5_14B,0.7413,0.7996,0.7596,0.7781,few-shot,2,2,1,0.0
66,GEMMA2-27B,0.7471,0.7941,0.7596,0.7844,few-shot,3,2,2,1.0
67,QWEN2.5_14B,0.7414,0.7994,0.7596,0.7781,few-shot,2,2,1,0.2
68,MISTRAL_NEMO,0.809,0.7329,0.7594,0.7845,few-shot,2,1,1,0.2
69,QWEN2.5_14B,0.7474,0.7888,0.7593,0.7824,one-shot,1,2,1,0.2
70,GEMMA2-27B,0.7465,0.7865,0.7588,0.7856,few-shot,3,2,2,0.0
71,QWEN2.5_14B,0.7478,0.7864,0.7587,0.7824,one-shot,1,2,2,0.5
72,GEMMA2-27B,0.7446,0.7895,0.7576,0.784,few-shot,3,2,2,0.5
73,QWEN2.5_14B,0.7456,0.7818,0.7556,0.7802,one-shot,1,2,2,0.0
74,QWEN2.5_14B,0.7448,0.7817,0.7551,0.7797,one-shot,1,2,2,0.2
75,MISTRAL_NEMO,0.7451,0.7682,0.7551,0.7856,many-shot,2,2,2,0.0
76,MISTRAL_NEMO,0.7457,0.7671,0.7547,0.784,many-shot,2,2,2,0.2
77,QWEN2.5_14B,0.7435,0.781,0.7538,0.7786,one-shot,1,2,2,1.0
78,GEMMA2-27B,0.7507,0.7582,0.7534,0.7883,one-shot,3,2,2,1.0
79,MISTRAL_NEMO,0.7927,0.7295,0.7534,0.7759,many-shot,2,1,1,0.0
80,MISTRAL_NEMO,0.7421,0.7751,0.7531,0.7813,few-shot,2,2,2,0.0
81,MISTRAL_NEMO,0.7587,0.7525,0.7527,0.7786,few-shot,3,2,2,0.2
82,QWEN2.5_14B,0.7476,0.7839,0.7526,0.777,zero-shot,3,2,,0.2
83,MISTRAL_NEMO,0.7601,0.7506,0.7524,0.7851,one-shot,3,2,2,0.2
84,MISTRAL_NEMO,0.7452,0.7625,0.7523,0.7695,many-shot,3,2,1,0.0
85,MISTRAL_NEMO,0.7412,0.7738,0.7523,0.7808,few-shot,2,2,2,0.2
86,QWEN2.5_14B,0.7487,0.7819,0.7522,0.777,zero-shot,3,2,,1.0
87,MISTRAL_NEMO,0.7878,0.7297,0.752,0.7765,many-shot,2,1,1,0.2
88,MISTRAL_NEMO,0.7595,0.7502,0.752,0.7845,one-shot,3,2,2,0.0
89,QWEN2.5_14B,0.7468,0.7836,0.752,0.7765,zero-shot,3,2,,0.0
90,GEMMA2-27B,0.7479,0.7565,0.7512,0.7856,one-shot,3,2,2,0.5
91,QWEN2.5_14B,0.7401,0.7817,0.7508,0.7749,one-shot,2,2,2,0.5
92,MISTRAL_NEMO,0.7933,0.7265,0.7508,0.7759,few-shot,2,1,1,0.5
93,QWEN2.5_14B,0.7376,0.7862,0.7506,0.7722,one-shot,3,2,1,0.0
94,QWEN2.5_14B,0.7373,0.7864,0.7504,0.7722,one-shot,3,2,1,0.2
95,QWEN2.5_14B,0.7386,0.7825,0.7502,0.7722,one-shot,2,2,1,1.0
96,MISTRAL_NEMO,0.7462,0.7563,0.7501,0.7689,many-shot,3,2,1,0.2
97,GEMMA2-27B,0.7369,0.782,0.7501,0.7765,few-shot,3,2,1,0.2
98,GEMMA2-27B,0.7476,0.7546,0.75,0.7851,one-shot,3,2,2,0.2
99,QWEN2.5_14B,0.7413,0.7813,0.7499,0.7732,zero-shot,2,1,,0.0
100,QWEN2.5_14B,0.7369,0.7849,0.7499,0.7716,one-shot,3,2,1,0.5
101,QWEN2.5_14B,0.7388,0.7815,0.7498,0.7716,one-shot,2,2,1,0.2
102,QWEN2.5_14B,0.75,0.7515,0.7498,0.7663,one-shot,1,1,2,0.2
103,GEMMA2-9B,0.7475,0.786,0.7498,0.7716,few-shot,3,2,2,0.0
104,MISTRAL_NEMO,0.7451,0.7614,0.7497,0.7643,few-shot,1,2,1,0.5
105,GEMMA2-9B,0.7479,0.7859,0.7497,0.7715,few-shot,3,2,2,0.2
106,QWEN2.5_14B,0.7389,0.7815,0.7497,0.7716,one-shot,2,2,1,0.0
107,QWEN2.5_14B,0.7384,0.7815,0.7495,0.7716,one-shot,2,2,1,0.5
108,QWEN2.5_14B,0.7453,0.7804,0.7495,0.7743,zero-shot,3,2,,0.5
109,MISTRAL_NEMO,0.7382,0.7702,0.7495,0.7775,few-shot,2,2,2,0.5
110,QWEN2.5_14B,0.7408,0.7812,0.7494,0.7722,zero-shot,2,1,,0.5
111,QWEN2.5_14B,0.7396,0.7813,0.749,0.7722,zero-shot,2,1,,0.2
112,QWEN2.5_14B,0.7358,0.7845,0.7489,0.7711,one-shot,3,2,1,1.0
113,QWEN2.5_14B,0.7385,0.7786,0.7488,0.7732,one-shot,2,2,2,0.2
114,MISTRAL_NEMO,0.7541,0.7485,0.7488,0.7818,one-shot,3,2,2,0.5
115,GEMMA2-27B,0.7461,0.7522,0.7483,0.784,one-shot,3,2,2,0.0
116,QWEN2.5_14B,0.7479,0.7504,0.7483,0.7652,one-shot,1,1,2,0.5
117,GEMMA2-27B,0.7382,0.789,0.7481,0.7735,many-shot,3,2,2,0.5
118,QWEN2.5_14B,0.7373,0.7793,0.748,0.7716,one-shot,2,2,2,1.0
119,QWEN2.5_14B,0.7376,0.7787,0.7479,0.7722,one-shot,2,2,2,0.0
120,QWEN2.5_14B,0.7483,0.7491,0.7476,0.7663,one-shot,1,1,2,1.0
121,GEMMA2-9B,0.7458,0.783,0.7476,0.7694,few-shot,3,2,2,0.5
122,QWEN2.5_14B,0.7381,0.7787,0.7475,0.7706,zero-shot,2,1,,1.0
123,QWEN2.5_14B,0.7482,0.7485,0.7473,0.7636,one-shot,1,1,2,0.0
124,MISTRAL_NEMO,0.7442,0.7513,0.7472,0.7593,many-shot,1,1,1,0.0
125,MISTRAL_NEMO,0.7485,0.7501,0.7469,0.7759,one-shot,3,2,2,1.0
126,GEMMA2-27B,0.7339,0.78,0.7469,0.7727,few-shot,3,2,1,0.0
127,PHI3_MEDIUM,0.735,0.8089,0.7467,0.7611,many-shot,3,2,2,0.2
128,GEMMA2-9B,0.7395,0.7759,0.7465,0.7722,few-shot,2,2,2,0.5
129,MISTRAL_NEMO,0.7556,0.739,0.7465,0.768,few-shot,1,1,1,0.5
130,MISTRAL_NEMO,0.7538,0.7449,0.7464,0.7738,few-shot,3,2,2,0.0
131,GEMMA2-9B,0.7443,0.7807,0.7458,0.7684,few-shot,3,2,2,1.0
132,QWEN2.5_14B,0.7332,0.7778,0.7455,0.7668,zero-shot,1,1,,1.0
133,GEMMA2-9B,0.7391,0.7767,0.7453,0.7726,few-shot,1,2,2,0.5
134,QWEN2.5_14B,0.7271,0.7768,0.7448,0.7501,few-shot,1,1,2,0.5
135,PHI3_MEDIUM,0.7333,0.7917,0.7445,0.7592,many-shot,3,2,2,0.5
136,GEMMA2-27B,0.7342,0.7844,0.7443,0.7699,many-shot,3,2,2,0.2
137,MISTRAL_NEMO,0.7266,0.7785,0.7441,0.7645,many-shot,2,2,1,0.5
138,QWEN2.5_14B,0.7264,0.7764,0.7441,0.7496,few-shot,1,1,2,0.0
139,GEMMA2-27B,0.7334,0.781,0.744,0.7706,many-shot,3,2,2,1.0
140,LLAMA3,0.7276,0.7799,0.7439,0.7625,many-shot,1,2,2,0.0
141,MISTRAL_NEMO,0.7319,0.7606,0.7437,0.7722,many-shot,2,2,2,0.5
142,PHI3_MEDIUM,0.7331,0.8063,0.7437,0.7581,many-shot,3,2,2,0.0
143,GEMMA2-27B,0.7301,0.7778,0.7433,0.7694,few-shot,3,2,1,1.0
144,GEMMA2-27B,0.7301,0.7781,0.7432,0.7689,few-shot,3,2,1,0.5
145,GEMMA2-27B,0.7334,0.7844,0.7431,0.7688,many-shot,3,2,2,0.0
146,GEMMA2-9B,0.7401,0.7815,0.7431,0.7668,many-shot,2,2,2,0.2
147,QWEN2.5_14B,0.7367,0.7503,0.743,0.763,one-shot,2,1,2,0.2
148,GEMMA2-9B,0.7416,0.7773,0.743,0.7679,many-shot,1,2,2,0.5
149,GEMMA2-27B,0.7266,0.7791,0.7426,0.7684,many-shot,3,2,1,0.0
150,GEMMA2-27B,0.7263,0.7788,0.7424,0.768,many-shot,3,2,1,0.2
151,QWEN2.5_14B,0.725,0.7738,0.7424,0.7485,few-shot,1,1,2,0.2
152,QWEN2.5_14B,0.7307,0.7746,0.7423,0.7641,zero-shot,1,1,,0.2
153,GEMMA2-9B,0.7407,0.7767,0.7421,0.7673,many-shot,1,2,2,0.0
154,QWEN2.5_14B,0.7305,0.7746,0.7421,0.7641,zero-shot,1,1,,0.0
155,QWEN2.5_14B,0.7358,0.7489,0.7419,0.762,one-shot,2,1,2,0.0
156,MISTRAL_NEMO,0.7438,0.7426,0.7418,0.7663,few-shot,3,2,2,0.5
157,MISTRAL_NEMO,0.7382,0.7462,0.7417,0.7534,many-shot,1,1,1,0.2
158,QWEN2.5_14B,0.736,0.7474,0.7414,0.762,one-shot,2,1,2,0.5
159,QWEN2.5_14B,0.7301,0.7743,0.7414,0.7636,zero-shot,1,1,,0.5
160,GEMMA2-9B,0.7381,0.7798,0.7412,0.7646,many-shot,2,2,2,0.0
161,MISTRAL_NEMO,0.7248,0.772,0.7409,0.7641,many-shot,1,2,2,0.2
162,GEMMA2-9B,0.7398,0.7747,0.7408,0.7663,many-shot,1,2,2,0.2
163,GEMMA2-9B,0.7371,0.779,0.7406,0.7646,many-shot,2,2,2,0.5
164,MISTRAL_NEMO,0.7243,0.7703,0.7404,0.7625,many-shot,1,2,2,0.0
165,QWEN2.5_14B,0.7278,0.7875,0.7403,0.7609,zero-shot,2,2,,1.0
166,GEMMA2-9B,0.7346,0.7695,0.7403,0.7663,few-shot,2,2,2,0.2
167,GEMMA2-9B,0.739,0.7725,0.7398,0.7653,many-shot,1,2,2,1.0
168,QWEN2.5_14B,0.7218,0.7714,0.7395,0.7448,few-shot,1,1,2,1.0
169,QWEN2.5_14B,0.7311,0.7505,0.7394,0.7593,one-shot,1,1,1,0.5
170,GEMMA2-9B,0.7341,0.7682,0.7394,0.7657,few-shot,2,2,2,0.0
171,QWEN2.5_14B,0.7217,0.7679,0.7394,0.7507,few-shot,2,1,2,0.5
172,QWEN2.5_14B,0.7329,0.7459,0.739,0.7614,one-shot,2,1,2,1.0
173,QWEN2.5_14B,0.7293,0.7525,0.739,0.7587,one-shot,1,1,1,0.0
174,MISTRAL_NEMO,0.724,0.7771,0.739,0.7636,few-shot,1,2,2,0.0
175,MISTRAL_NEMO,0.7218,0.7869,0.7389,0.7582,many-shot,1,2,1,0.0
176,MISTRAL_NEMO,0.7637,0.7353,0.7389,0.7646,many-shot,2,1,2,0.0
177,QWEN2.5_14B,0.7207,0.7672,0.7383,0.7507,few-shot,2,1,2,0.0
178,MISTRAL_NEMO,0.7485,0.7299,0.7381,0.7754,one-shot,2,2,1,0.2
179,GEMMA2-27B,0.7217,0.7758,0.7378,0.7631,many-shot,3,2,1,1.0
180,MISTRAL_NEMO,0.722,0.7741,0.7378,0.7609,few-shot,1,2,2,0.2
181,QWEN2.5_14B,0.7279,0.7513,0.7377,0.7571,one-shot,1,1,1,0.2
182,GEMMA2-9B,0.7317,0.7695,0.7376,0.7651,few-shot,1,2,2,0.2
183,QWEN2.5_14B,0.7253,0.7852,0.7373,0.7577,zero-shot,2,2,,0.5
184,GEMMA2-9B,0.7298,0.768,0.7371,0.763,few-shot,2,2,2,1.0
185,GEMMA2-9B,0.7424,0.7719,0.7368,0.7614,many-shot,3,2,2,0.2
186,GEMMA2-27B,0.721,0.772,0.7368,0.763,many-shot,3,2,1,0.5
187,GEMMA2-27B,0.735,0.7478,0.7367,0.7663,one-shot,3,2,1,0.5
188,QWEN2.5_14B,0.7244,0.7842,0.7366,0.7571,zero-shot,2,2,,0.2
189,QWEN2.5_14B,0.7266,0.7504,0.7366,0.7566,one-shot,1,1,1,1.0
190,QWEN2.5_14B,0.7244,0.7842,0.7366,0.7571,zero-shot,2,2,,0.0
191,MISTRAL_NEMO,0.7377,0.7361,0.7365,0.7679,many-shot,3,2,2,0.0
192,GEMMA2-27B,0.7347,0.7472,0.7361,0.7657,one-shot,3,2,1,0.0
193,GEMMA2-9B,0.7307,0.768,0.7361,0.763,few-shot,1,2,2,1.0
194,QWEN2.5_14B,0.7184,0.7649,0.736,0.7485,few-shot,2,1,2,0.2
195,MISTRAL_NEMO,0.7249,0.753,0.7358,0.763,many-shot,2,2,2,1.0
196,QWEN2.5_14B,0.7179,0.765,0.7358,0.7469,few-shot,2,1,2,1.0
197,GEMMA2-9B,0.7296,0.7681,0.7357,0.7629,few-shot,1,2,2,0.0
198,MISTRAL_NEMO,0.7589,0.7323,0.7356,0.7625,many-shot,2,1,2,0.2
199,QWEN2.5_14B,0.724,0.7907,0.7355,0.7544,zero-shot,1,2,,0.5
200,GEMMA2-27B,0.7343,0.7464,0.7354,0.7652,one-shot,3,2,1,1.0
201,MISTRAL_NEMO,0.7362,0.7344,0.7348,0.7598,few-shot,3,2,2,1.0
202,QWEN2.5_14B,0.7237,0.7901,0.7348,0.7539,zero-shot,1,2,,0.2
203,GEMMA2-9B,0.7411,0.7701,0.7347,0.7593,many-shot,3,2,2,0.0
204,MISTRAL_NEMO,0.737,0.734,0.7346,0.7657,many-shot,3,2,2,0.2
205,LLAMA3,0.7318,0.7974,0.7344,0.7368,few-shot,1,2,2,0.0
206,MISTRAL_NEMO,0.7431,0.7271,0.7343,0.7749,one-shot,2,2,1,0.0
207,QWEN2.5_14B,0.7232,0.7898,0.7343,0.7534,zero-shot,1,2,,0.0
208,LLAMA3,0.7186,0.7733,0.7343,0.7533,many-shot,1,2,2,0.2
209,MISTRAL_NEMO,0.7413,0.7349,0.7342,0.7523,few-shot,3,2,1,0.0
210,GEMMA2-9B,0.7394,0.7724,0.7339,0.7559,many-shot,3,2,2,1.0
211,GEMMA2-27B,0.7324,0.7457,0.7339,0.7636,one-shot,3,2,1,0.2
212,GEMMA2-9B,0.7397,0.7508,0.7337,0.7593,one-shot,2,1,1,0.5
213,QWEN2.5_14B,0.714,0.7799,0.7333,0.7458,many-shot,1,1,2,0.0
214,QWEN2.5_14B,0.7219,0.7884,0.7329,0.7517,zero-shot,1,2,,1.0
215,MISTRAL_NEMO,0.7393,0.7342,0.7326,0.7517,few-shot,3,2,1,0.2
216,GEMMA2-9B,0.7375,0.7682,0.7326,0.7566,many-shot,3,2,2,0.5
217,MISTRAL_NEMO,0.7407,0.7432,0.7326,0.756,many-shot,1,1,2,0.0
218,GEMMA2-9B,0.7261,0.7625,0.7326,0.7555,one-shot,3,2,1,0.5
219,MISTRAL_NEMO,0.7184,0.7605,0.7325,0.7587,few-shot,2,2,2,1.0
220,LLAMA3,0.7162,0.7706,0.7322,0.7515,many-shot,1,2,2,0.5
221,MISTRAL_NEMO,0.7386,0.7419,0.7321,0.756,many-shot,1,1,2,0.2
222,GEMMA2-9B,0.7314,0.7804,0.7319,0.7534,few-shot,3,2,1,1.0
223,GEMMA2-9B,0.7287,0.7716,0.7319,0.7555,many-shot,2,2,2,1.0
224,QWEN2.5_14B,0.7177,0.7578,0.7317,0.7507,one-shot,2,1,1,0.2
225,QWEN2.5_14B,0.7124,0.7768,0.7316,0.7442,many-shot,1,1,2,0.5
226,QWEN2.5_14B,0.712,0.7779,0.7314,0.7437,many-shot,1,1,2,0.2
227,GEMMA2-9B,0.7347,0.7489,0.7307,0.755,one-shot,2,1,1,1.0
228,QWEN2.5_14B,0.7166,0.7567,0.7305,0.7496,one-shot,2,1,1,0.5
229,QWEN2.5_14B,0.7161,0.7566,0.7302,0.7491,one-shot,2,1,1,0.0
230,GEMMA2-9B,0.7226,0.7619,0.7301,0.7517,one-shot,3,2,1,0.0
231,LLAMA3,0.7208,0.7574,0.7295,0.7465,many-shot,3,2,2,0.5
232,GEMMA2-9B,0.736,0.7459,0.7295,0.7555,one-shot,2,1,1,0.0
233,MISTRAL_NEMO,0.7131,0.779,0.7294,0.7491,many-shot,1,2,1,0.2
234,QWEN2.5_14B,0.71,0.7766,0.729,0.7421,many-shot,1,1,2,1.0
235,GEMMA2-9B,0.7686,0.7081,0.729,0.7582,one-shot,2,1,2,1.0
236,QWEN2,0.7303,0.7493,0.7289,0.7581,few-shot,2,1,2,0.2
237,LLAMA3,0.7196,0.7505,0.7287,0.7452,many-shot,3,2,2,0.0
238,GEMMA2-27B,0.7225,0.7479,0.7287,0.7566,many-shot,2,1,2,1.0
239,QWEN2,0.7297,0.7485,0.7285,0.7571,few-shot,2,1,2,0.0
240,GEMMA2-9B,0.7269,0.777,0.7285,0.7495,few-shot,3,2,1,0.0
241,GEMMA2-27B,0.7226,0.7482,0.7284,0.7544,many-shot,2,1,2,0.5
242,GEMMA2-27B,0.7186,0.7588,0.7282,0.7566,one-shot,1,2,1,0.5
243,GEMMA2-9B,0.7261,0.7751,0.7279,0.7495,few-shot,3,2,1,0.5
244,GEMMA2-9B,0.7212,0.7595,0.7278,0.7501,one-shot,3,2,1,0.2
245,MISTRAL_NEMO,0.7117,0.7671,0.7274,0.7501,few-shot,1,2,2,0.5
246,GEMMA2-9B,0.7193,0.7607,0.7274,0.7491,one-shot,3,2,1,1.0
247,GEMMA2-27B,0.7178,0.7492,0.7273,0.7582,zero-shot,3,2,,1.0
248,GEMMA2-9B,0.7675,0.7069,0.7273,0.7587,one-shot,2,1,2,0.5
249,GEMMA2-9B,0.7252,0.7754,0.7268,0.7474,few-shot,3,2,1,0.2
250,MISTRAL_NEMO,0.7235,0.7313,0.7268,0.7578,few-shot,2,2,1,1.0
251,GEMMA2-9B,0.7331,0.7425,0.7268,0.7539,one-shot,2,1,1,0.2
252,QWEN2.5_14B,0.7133,0.7522,0.7266,0.7474,one-shot,2,1,1,1.0
253,MISTRAL_NEMO,0.7319,0.7221,0.7264,0.7657,one-shot,2,2,1,0.5
254,GEMMA2-27B,0.7211,0.7446,0.7263,0.7534,many-shot,2,1,2,0.2
255,LLAMA3,0.711,0.7698,0.7262,0.7444,many-shot,1,2,2,1.0
256,GEMMA2-27B,0.7168,0.7553,0.7259,0.7555,one-shot,1,2,1,0.0
257,MISTRAL_NEMO,0.7103,0.7788,0.7258,0.7446,many-shot,1,2,1,0.5
258,MISTRAL_NEMO,0.7105,0.7568,0.7255,0.748,many-shot,1,2,2,0.5
259,MISTRAL_NEMO,0.7529,0.7295,0.7255,0.756,few-shot,1,1,2,0.0
260,QWEN2.5_14B,0.7074,0.7792,0.7254,0.7394,many-shot,2,1,2,0.5
261,GEMMA2-27B,0.7201,0.7437,0.7252,0.7523,many-shot,2,1,2,0.0
262,MISTRAL_NEMO,0.7223,0.7281,0.7251,0.7603,one-shot,1,2,1,0.0
263,GEMMA2-9B,0.7299,0.7454,0.7251,0.7496,one-shot,1,1,1,0.2
264,GEMMA2-27B,0.7157,0.7544,0.7249,0.7544,one-shot,1,2,1,0.2
265,QWEN2,0.7276,0.7454,0.7249,0.7555,few-shot,1,1,2,0.0
266,GEMMA2-9B,0.7654,0.7042,0.7248,0.756,one-shot,2,1,2,0.0
267,MISTRAL_NEMO,0.742,0.7233,0.7247,0.7544,many-shot,2,1,2,0.5
268,GEMMA2-9B,0.7293,0.7462,0.7247,0.7491,one-shot,1,1,1,1.0
269,LLAMA3.1,0.744,0.7103,0.7246,0.7488,few-shot,1,1,2,0.0
270,LLAMA3,0.7101,0.7626,0.7242,0.7397,many-shot,2,2,2,0.2
271,GEMMA2-9B,0.7758,0.698,0.7241,0.7598,one-shot,1,1,2,0.5
272,LLAMA3.1,0.7421,0.7102,0.7239,0.7468,few-shot,1,1,2,0.2
273,MISTRAL_NEMO,0.7209,0.727,0.7238,0.7582,one-shot,1,2,1,0.2
274,GEMMA2-9B,0.7287,0.7445,0.7234,0.748,one-shot,1,1,1,0.0
275,GEMMA2-27B,0.7135,0.7541,0.723,0.7512,one-shot,1,2,1,1.0
276,LLAMA3.1,0.7297,0.7196,0.723,0.7405,few-shot,2,1,2,0.0
277,LLAMA3,0.7294,0.782,0.7229,0.7232,few-shot,3,2,2,1.0
278,MISTRAL_NEMO,0.7501,0.7277,0.7226,0.755,few-shot,1,1,2,0.2
279,GEMMA2-27B,0.7189,0.7413,0.7226,0.7501,many-shot,1,1,2,0.0
280,MISTRAL_NEMO,0.7254,0.7221,0.7224,0.7523,many-shot,3,2,2,0.5
281,GEMMA2-9B,0.728,0.7433,0.7224,0.7469,one-shot,1,1,1,0.5
282,GEMMA2-9B,0.7737,0.6955,0.7223,0.7614,one-shot,1,1,2,1.0
283,GEMMA2-27B,0.7182,0.7421,0.7221,0.7491,many-shot,1,1,2,0.5
284,LLAMA3,0.7078,0.7595,0.7221,0.7376,many-shot,2,2,2,0.0
285,GEMMA2-27B,0.7185,0.7394,0.722,0.7507,many-shot,1,1,2,1.0
286,GEMMA2-27B,0.7179,0.7403,0.7218,0.7496,many-shot,1,1,2,0.2
287,GEMMA2-9B,0.775,0.6948,0.7217,0.7593,one-shot,1,1,2,0.0
288,QWEN2,0.7249,0.7387,0.7216,0.7534,few-shot,2,1,2,0.5
289,GEMMA2-9B,0.7625,0.7007,0.7214,0.755,one-shot,2,1,2,0.2
290,GEMMA2-9B,0.7192,0.7434,0.7213,0.7453,few-shot,2,1,1,0.2
291,GEMMA2-9B,0.7116,0.7648,0.721,0.7415,one-shot,3,2,2,0.2
292,GEMMA2-9B,0.7118,0.765,0.7209,0.7415,one-shot,3,2,2,0.0
293,LLAMA3,0.7124,0.7475,0.7208,0.7333,many-shot,3,2,2,1.0
